"timestamp","source","message","level"
"2025-04-22T16:37:05.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:05.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:05.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:06.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:07.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:07.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:07.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:08.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:08.711Z","10.220.50.234","l2tp,ppp,info To_Management: initializing...","-1"
"2025-04-22T16:37:08.712Z","10.181.4.1","l2tp,info first L2TP UDP packet received from 92.55.120.77","-1"
"2025-04-22T16:37:08.712Z","10.220.50.234","l2tp,ppp,info To_Management: connecting...","-1"
"2025-04-22T16:37:08.790Z","10.181.4.1","l2tp,ppp,error <92.55.120.77>: user TK_AZ_Ohrid_NC is already active","-1"
"2025-04-22T16:37:08.800Z","10.220.50.234","l2tp,ppp,info To_Management: terminating... - failed to authenticate ourselves to peer","-1"
"2025-04-22T16:37:08.801Z","10.220.50.234","l2tp,ppp,info To_Management: disconnected","-1"
"2025-04-22T16:37:09.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
